"","lon","lat"
"465",142.157135,-10.65251
"470",143.769822,-9.59398
"471",143.409805,-9.755558
"472",144.051089,-9.917449
"473",142.1378,-10.3858
"474",142.775095,-9.902865
"495",142.32502,-10.908156
"497",145.3702,-16.4618
"500",145.4627,-16.4861
"509",145.465833,-16.483979
"510",145.46666,-16.483334
"511",-82.3594,23.1366
"512",-80.43,22.14
"513",-80.39,22.24
"514",-82.2693,23.0727
"516",-82.385988,23.10026
"517",-75.992632,20.213234
"518",-75.848336,20.187941
"519",-77.91368,21.38667
"520",-75.2,20.14
"521",-75.781514,20.097588
"522",-75.99358,20.044803
"523",-75.807443,20.044803
"524",-75.771682,20.057302
"525",-75.821334,20.034617
"526",-75.729655,20.03369
"527",-75.973207,19.996648
"528",-75.754658,19.985536
"529",-75.537962,19.941085
"530",-75.786144,20.021652
"531",-75.822,20.029
"532",-82.45,23.1
"533",-82.43,23.07
"534",-82.21,23.05
"535",-80.12,22.37
"536",-79.78,22.25
"537",-77.71,21.36
"538",-77.5,20.73
"539",-82.36,23.13
"540",-82.38,23.1
"549",-82.364531,23.10326
"550",-82.324438,23.020538
"551",-82.369356,23.134201
"552",-82.482465,23.076122
"553",-82.386754,23.101214
"554",-82.441154,23.105793
"555",-82.364166,23.138332
"556",-76.789055,17.989836
"557",-76.749816,18.009264
"558",-76.789742,17.99506
"559",-63.045818,18.025999
"560",-52.65,5.15
"561",-54.03,5.5
"562",-52.33,4.93
"566",-54.030962,5.499463
"567",-52.32379,4.923358
"573",-52.6465,5.16378
"583",-53.26,5.46
"584",-53.21,5.48
"586",-52.3269,4.9227
"587",-54.034,3.642
"588",-51.8,3.899
"590",-53.776,5.667
"591",-54.083,5.4
"592",-53.201,3.631
"593",-52.650461,5.159334
"601",-53.900002,5.733333
"602",-53.783333,5.666667
"603",-52.286386,4.877226
"604",-52.333332,4.85
"605",-72.33,18.55
"608",-72.340007,18.527631
"613",-72.6833,19.45
"615",-72.285278,18.512501
"616",-72.866943,18.431391
"617",-67.5375,10.3584
"618",-65.81,9.86
"619",-67.512406,10.177035
"620",-67.466319,10.225185
"621",-67.463808,10.171333
"625",-67.62,5.66
"629",-71.91,9
"633",-69.333057,10.06622
"634",-69.262676,10.019906
"635",-67.967312,10.162166
"636",-69.16935,10.044585
"637",-68.002338,10.17505
"638",-67.08322,10.46207
"639",-66.985545,10.467472
"640",-66.976397,10.430164
"641",-66.906892,10.467197
"643",-66.908094,10.498467
"645",-66.821233,10.46705
"650",-69.307687,8.096833
"651",-69.66,11.4
"652",-66.944532,10.459791
"654",-66.919745,10.512328
"655",-66.948563,10.468316
"657",-66.910822,10.515113
"660",-71.696491,10.518868
"663",-69.67741,11.404649
"665",-66.91614,10.466881
"666",-66.914127,10.49815
"670",-69.7657,10.1811
"672",-67.596111,10.246944
"673",-67.570753,10.239249
"674",-67.528939,10.212304
"675",-67.473078,10.223369
"676",-67.558758,10.156633
"678",-67.46398,10.170657
"680",-67.630305,10.30943
"682",-62.799999,8.116667
"683",-64.026,10.9412
"686",-63.5,10.416667
"687",-68.75,10.333333
"688",-68.737221,10.340556
"689",-68.035317,10.366897
"690",-68.833336,10.3
"691",-68.779999,10.322778
"692",-68.018608,10.26
"693",-67.873886,10.229722
"694",-64.616669,10.216667
"695",-69.833328,10.16667
"696",-68.083328,10.16667
"697",-69,10.133333
"698",-67.166672,10
"699",-67.75,9.95
"700",-67.199051,9.862981
"701",-63,9.33333
"702",-66.583336,8.666667
"703",-68.003891,10.180556
"707",-64,11
"708",-64.166672,10.46667
"709",-67.050552,10.346667
"710",-66.416672,10.25
"711",-64.699997,10.133333
"712",-70.583336,9.333333
"713",-69.25,9.166667
"714",-64.5,9
"715",-71.144997,8.59833
"716",-71.166664,8.5
"717",-62.652779,8.353333
"718",-69.833336,8.166667
"719",-66,8
"720",-72.416664,7.833333
"721",-70.761665,7.090278
"722",-15.5,12.75
"723",-17.43,14.67
"724",-12.310645,12.538873
"725",-11.755781,12.832167
"726",-17.433397,14.675664
"727",-17.525368,14.744533
"728",-17.453333,14.704167
"729",-17.434722,14.756944
"730",-17.4,14.75
"731",-90.950044,15.45048
"732",-91.009564,14.161968
"735",-90.356235,15.694925
"740",-89.532838,14.783016
"741",-90.384823,15.115105
"742",-89.006499,15.552586
"743",-90.083629,14.90473
"744",-89.94768,14.61925
"746",-91.560277,15.650719
"747",-91.36,14.28
"749",-91.43063,14.378803
"750",-90.017848,16.975562
"751",-89.726161,14.643984
"753",-89.508349,15.036083
"755",-91.931511,15.017875
"756",-91.805376,14.442959
"759",-90.356822,14.155578
"761",-91.263419,14.715477
"764",-91.713789,14.786373
"765",-89.897681,14.207556
"772",-90.806164,14.553536
"778",-88.599998,15.716667
"779",-89,15.5
"781",-91.866524,14.700498
"784",-90.300003,14.166667
"785",-89.6154,20.9792
"786",-89.62738,20.935789
"787",-97.863865,22.269717
"788",-105.228858,20.623303
"789",-108.0788,25.4611
"790",-110.898,27.92
"792",-92.25,14.923
"793",-92.4818,16.4861
"794",-101.5321,17.6515
"795",-89.61,20.96
"796",-99.880943,16.863691
"800",-99.6045,18.556
"802",-100.31,25.66
"804",-109.4445,27.071
"806",-106,25
"807",-109.1747,26.6037
"808",-90.517445,19.843904
"809",-89.418597,20.301244
"811",-97.506,25.867
"812",-98.3662,25.8101
"814",-89.876118,21.015612
"815",-89.0113,20.9308
"821",-88.3,18.5
"822",-86.848354,21.155278
"823",-99.6413,17.3819
"824",-89.247279,20.814131
"826",-89.044991,20.072056
"832",-95.020094,16.433615
"833",-95.1933,16.18797
"834",-96.693274,17.094096
"835",-97.956169,17.682093
"841",-89.287791,20.202521
"843",-100.18095,18.681049
"844",-100.186501,25.781344
"845",-99.175701,18.88095
"846",-86.852646,21.166484
"847",-89.829984,20.750656
"848",-89.856205,20.553081
"851",-88.2,20.68
"854",-98.989763,18.712106
"855",-106.691351,24.413547
"856",-109.642553,26.826675
"858",-110.315208,24.136728
"859",-95.814786,17.825021
"860",-98.981166,18.955487
"862",-97.829533,22.273847
"863",-88.045564,19.578634
"864",-109.940586,27.491218
"865",-111.00827,29.061872
"866",-100.179706,23.673062
"867",-92.645502,18.533816
"868",-96.84381,18.130436
"869",-106.415062,23.236299
"870",-88.295192,18.495604
"871",-111.5227,28.6183
"873",-97.864,22.223
"875",-106.407784,23.268769
"876",-107.701735,24.796202
"877",-96.123058,18.071451
"878",-96.695613,17.088066
"879",-99.133987,19.429039
"880",-96.734197,19.624156
"881",-93.37183,17.999632
"882",-99.232063,18.932918
"883",-93.392401,17.832048
"884",-99.472804,21.2165
"885",-107.916691,25.483184
"886",-95.976791,16.607242
"887",-99.118853,18.68918
"888",-96.153774,19.188623
"890",-100.291554,25.662842
"891",-99.138622,23.737583
"892",-97.061491,18.851711
"893",-101.666672,21.116671
"894",-101.801383,19.811365
"895",-92.093854,16.906727
"897",-103.469628,25.524958
"899",-108.449997,25.566668
"900",-94.699997,17.966667
"902",-110.9655,29.0898
"903",-103.4919,25.5596
"904",-103.4717,25.5923
"905",-103.3149,20.6379
"906",-103.5155,20.7386
"907",-103.333336,20.666668
"912",-110.9037,27.9143
"914",-110.966667,29.066668
"915",-108.966667,25.766666
"916",-103.433327,25.549999
"917",-101.550003,24.633333
